Loan_ID,Name,Phone,Email,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001087,Person 030,9800000030,person030@example.com,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
LP001091,Person 031,9800000031,person031@example.com,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
LP001095,Person 032,9800000032,person032@example.com,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
LP001097,Person 033,9800000033,person033@example.com,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
LP001098,Person 034,9800000034,person034@example.com,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
LP001100,Person 035,9800000035,person035@example.com,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
LP001106,Person 036,9800000036,person036@example.com,Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
LP001109,Person 037,9800000037,person037@example.com,Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
LP001112,Person 038,9800000038,person038@example.com,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y
LP001114,Person 039,9800000039,person039@example.com,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
LP001116,Person 040,9800000040,person040@example.com,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
LP001119,Person 041,9800000041,person041@example.com,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
LP001120,Person 042,9800000042,person042@example.com,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
LP001123,Person 043,9800000043,person043@example.com,Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
LP001131,Person 044,9800000044,person044@example.com,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
LP001136,Person 045,9800000045,person045@example.com,Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
LP001137,Person 046,9800000046,person046@example.com,Female,No,0,Graduate,No,3410,0,88,,1,Urban,Y
LP001138,Person 047,9800000047,person047@example.com,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y
LP001144,Person 048,9800000048,person048@example.com,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
LP001146,Person 049,9800000049,person049@example.com,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
LP001151,Person 050,9800000050,person050@example.com,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP001155,Person 051,9800000051,person051@example.com,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
LP001157,Person 052,9800000052,person052@example.com,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
LP001164,Person 053,9800000053,person053@example.com,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP001179,Person 054,9800000054,person054@example.com,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
LP001186,Person 055,9800000055,person055@example.com,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
LP001194,Person 056,9800000056,person056@example.com,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP001195,Person 057,9800000057,person057@example.com,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
LP001197,Person 058,9800000058,person058@example.com,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
LP001198,Person 059,9800000059,person059@example.com,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP001199,Person 060,9800000060,person060@example.com,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
LP001205,Person 061,9800000061,person061@example.com,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
LP001206,Person 062,9800000062,person062@example.com,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
LP001207,Person 063,9800000063,person063@example.com,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP001213,Person 064,9800000064,person064@example.com,Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
LP001222,Person 065,9800000065,person065@example.com,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP001225,Person 066,9800000066,person066@example.com,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N
LP001228,Person 067,9800000067,person067@example.com,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N
LP001233,Person 068,9800000068,person068@example.com,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
LP001238,Person 069,9800000069,person069@example.com,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y
LP001241,Person 070,9800000070,person070@example.com,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
LP001243,Person 071,9800000071,person071@example.com,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
LP001245,Person 072,9800000072,person072@example.com,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP001248,Person 073,9800000073,person073@example.com,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
LP001250,Person 074,9800000074,person074@example.com,Male,Yes,3+,Not Graduate,No,4755,0,95,,0,Semiurban,N
LP001253,Person 075,9800000075,person075@example.com,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
LP001255,Person 076,9800000076,person076@example.com,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
LP001256,Person 077,9800000077,person077@example.com,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N
LP001259,Person 078,9800000078,person078@example.com,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
LP001263,Person 079,9800000079,person079@example.com,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
LP001264,Person 080,9800000080,person080@example.com,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
LP001265,Person 081,9800000081,person081@example.com,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
LP001266,Person 082,9800000082,person082@example.com,Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
LP001267,Person 083,9800000083,person083@example.com,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
LP001273,Person 084,9800000084,person084@example.com,Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
LP001275,Person 085,9800000085,person085@example.com,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
LP001279,Person 086,9800000086,person086@example.com,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y
LP001280,Person 087,9800000087,person087@example.com,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
LP001282,Person 088,9800000088,person088@example.com,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
LP001289,Person 089,9800000089,person089@example.com,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
LP001310,Person 090,9800000090,person090@example.com,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y
LP001316,Person 091,9800000091,person091@example.com,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
LP001318,Person 092,9800000092,person092@example.com,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
LP001319,Person 093,9800000093,person093@example.com,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
LP001322,Person 094,9800000094,person094@example.com,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
LP001325,Person 095,9800000095,person095@example.com,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
LP001326,Person 096,9800000096,person096@example.com,Male,No,0,Graduate,,6782,0,,360,,Urban,N
LP001327,Person 097,9800000097,person097@example.com,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y
LP001333,Person 098,9800000098,person098@example.com,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
LP001334,Person 099,9800000099,person099@example.com,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
LP001343,Person 100,9800000100,person100@example.com,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
LP001345,Person 101,9800000101,person101@example.com,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
LP001349,Person 102,9800000102,person102@example.com,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
LP001350,Person 103,9800000103,person103@example.com,Male,Yes,,Graduate,No,13650,0,,360,1,Urban,Y
LP001356,Person 104,9800000104,person104@example.com,Male,Yes,0,Graduate,No,4652,3583,,360,1,Semiurban,Y
LP001357,Person 105,9800000105,person105@example.com,Male,,,Graduate,No,3816,754,160,360,1,Urban,Y
LP001367,Person 106,9800000106,person106@example.com,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
LP001369,Person 107,9800000107,person107@example.com,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
LP001370,Person 108,9800000108,person108@example.com,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N
LP001379,Person 109,9800000109,person109@example.com,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
LP001384,Person 110,9800000110,person110@example.com,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
LP001385,Person 111,9800000111,person111@example.com,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
LP001387,Person 112,9800000112,person112@example.com,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
LP001391,Person 113,9800000113,person113@example.com,Male,Yes,0,Not Graduate,No,3572,4114,152,,0,Rural,N
LP001392,Person 114,9800000114,person114@example.com,Female,No,1,Graduate,Yes,7451,0,,360,1,Semiurban,Y
LP001398,Person 115,9800000115,person115@example.com,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
LP001401,Person 116,9800000116,person116@example.com,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
LP001404,Person 117,9800000117,person117@example.com,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
LP001405,Person 118,9800000118,person118@example.com,Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y
LP001421,Person 119,9800000119,person119@example.com,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N
LP001422,Person 120,9800000120,person120@example.com,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
LP001426,Person 121,9800000121,person121@example.com,Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y
LP001430,Person 122,9800000122,person122@example.com,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
LP001431,Person 123,9800000123,person123@example.com,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y
LP001432,Person 124,9800000124,person124@example.com,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
LP001439,Person 125,9800000125,person125@example.com,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
LP001443,Person 126,9800000126,person126@example.com,Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
LP001448,Person 127,9800000127,person127@example.com,,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y
LP001449,Person 128,9800000128,person128@example.com,Male,No,0,Graduate,No,3865,1640,,360,1,Rural,Y
LP001451,Person 129,9800000129,person129@example.com,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
LP001465,Person 130,9800000130,person130@example.com,Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
LP001469,Person 131,9800000131,person131@example.com,Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
LP001473,Person 132,9800000132,person132@example.com,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
LP001478,Person 133,9800000133,person133@example.com,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
LP001482,Person 134,9800000134,person134@example.com,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
LP001487,Person 135,9800000135,person135@example.com,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y
LP001488,Person 136,9800000136,person136@example.com,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N
LP001489,Person 137,9800000137,person137@example.com,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
LP001491,Person 138,9800000138,person138@example.com,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
LP001492,Person 139,9800000139,person139@example.com,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
LP001493,Person 140,9800000140,person140@example.com,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
LP001497,Person 141,9800000141,person141@example.com,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N
LP001498,Person 142,9800000142,person142@example.com,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
LP001504,Person 143,9800000143,person143@example.com,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
LP001507,Person 144,9800000144,person144@example.com,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
LP001508,Person 145,9800000145,person145@example.com,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y
LP001514,Person 146,9800000146,person146@example.com,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
LP001516,Person 147,9800000147,person147@example.com,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
LP001518,Person 148,9800000148,person148@example.com,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
LP001519,Person 149,9800000149,person149@example.com,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
LP001520,Person 150,9800000150,person150@example.com,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
LP001528,Person 151,9800000151,person151@example.com,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
LP001529,Person 152,9800000152,person152@example.com,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
LP001531,Person 153,9800000153,person153@example.com,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
LP001532,Person 154,9800000154,person154@example.com,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
LP001535,Person 155,9800000155,person155@example.com,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
LP001536,Person 156,9800000156,person156@example.com,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y
LP001541,Person 157,9800000157,person157@example.com,Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
LP001543,Person 158,9800000158,person158@example.com,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
LP001546,Person 159,9800000159,person159@example.com,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
LP001552,Person 160,9800000160,person160@example.com,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
LP001560,Person 161,9800000161,person161@example.com,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
LP001562,Person 162,9800000162,person162@example.com,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
LP001565,Person 163,9800000163,person163@example.com,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
LP001570,Person 164,9800000164,person164@example.com,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
LP001572,Person 165,9800000165,person165@example.com,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
LP001574,Person 166,9800000166,person166@example.com,Male,Yes,0,Graduate,No,3707,3166,182,,1,Rural,Y
LP001577,Person 167,9800000167,person167@example.com,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
LP001578,Person 168,9800000168,person168@example.com,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
LP001579,Person 169,9800000169,person169@example.com,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
LP001580,Person 170,9800000170,person170@example.com,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
LP001581,Person 171,9800000171,person171@example.com,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y
LP001585,Person 172,9800000172,person172@example.com,,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y
LP001586,Person 173,9800000173,person173@example.com,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
LP001594,Person 174,9800000174,person174@example.com,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y
LP001603,Person 175,9800000175,person175@example.com,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
LP001606,Person 176,9800000176,person176@example.com,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y
LP001608,Person 177,9800000177,person177@example.com,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
LP001610,Person 178,9800000178,person178@example.com,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
LP001616,Person 179,9800000179,person179@example.com,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y
LP001630,Person 180,9800000180,person180@example.com,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
LP001633,Person 181,9800000181,person181@example.com,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
LP001634,Person 182,9800000182,person182@example.com,Male,No,0,Graduate,No,1916,5063,67,360,,Rural,N
LP001636,Person 183,9800000183,person183@example.com,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
LP001637,Person 184,9800000184,person184@example.com,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
LP001639,Person 185,9800000185,person185@example.com,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
LP001640,Person 186,9800000186,person186@example.com,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
LP001641,Person 187,9800000187,person187@example.com,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N
LP001643,Person 188,9800000188,person188@example.com,Male,Yes,0,Graduate,No,2383,2138,58,360,,Rural,Y
LP001644,Person 189,9800000189,person189@example.com,,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y
LP001647,Person 190,9800000190,person190@example.com,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
LP001653,Person 191,9800000191,person191@example.com,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
LP001656,Person 192,9800000192,person192@example.com,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
LP001657,Person 193,9800000193,person193@example.com,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
LP001658,Person 194,9800000194,person194@example.com,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
LP001664,Person 195,9800000195,person195@example.com,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
LP001665,Person 196,9800000196,person196@example.com,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
LP001666,Person 197,9800000197,person197@example.com,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
LP001669,Person 198,9800000198,person198@example.com,Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
LP001671,Person 199,9800000199,person199@example.com,Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
LP001673,Person 200,9800000200,person200@example.com,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
LP001674,Person 201,9800000201,person201@example.com,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
LP001677,Person 202,9800000202,person202@example.com,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
LP001682,Person 203,9800000203,person203@example.com,Male,Yes,3+,Not Graduate,No,3992,0,,180,1,Urban,N
LP001688,Person 204,9800000204,person204@example.com,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
LP001691,Person 205,9800000205,person205@example.com,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
LP001692,Person 206,9800000206,person206@example.com,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
LP001693,Person 207,9800000207,person207@example.com,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y
LP001698,Person 208,9800000208,person208@example.com,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
LP001699,Person 209,9800000209,person209@example.com,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
LP001702,Person 210,9800000210,person210@example.com,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
LP001708,Person 211,9800000211,person211@example.com,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
LP001711,Person 212,9800000212,person212@example.com,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
LP001713,Person 213,9800000213,person213@example.com,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
LP001715,Person 214,9800000214,person214@example.com,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y
LP001716,Person 215,9800000215,person215@example.com,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
LP001720,Person 216,9800000216,person216@example.com,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
LP001722,Person 217,9800000217,person217@example.com,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
LP001726,Person 218,9800000218,person218@example.com,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
LP001732,Person 219,9800000219,person219@example.com,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
LP001734,Person 220,9800000220,person220@example.com,Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
LP001736,Person 221,9800000221,person221@example.com,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
LP001743,Person 222,9800000222,person222@example.com,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
LP001744,Person 223,9800000223,person223@example.com,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y
LP001749,Person 224,9800000224,person224@example.com,Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
LP001750,Person 225,9800000225,person225@example.com,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y
LP001751,Person 226,9800000226,person226@example.com,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N
LP001754,Person 227,9800000227,person227@example.com,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
LP001758,Person 228,9800000228,person228@example.com,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
LP001760,Person 229,9800000229,person229@example.com,Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
LP001761,Person 230,9800000230,person230@example.com,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
LP001765,Person 231,9800000231,person231@example.com,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y
LP001768,Person 232,9800000232,person232@example.com,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y
LP001770,Person 233,9800000233,person233@example.com,Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
LP001776,Person 234,9800000234,person234@example.com,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y
LP001778,Person 235,9800000235,person235@example.com,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
LP001784,Person 236,9800000236,person236@example.com,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
LP001786,Person 237,9800000237,person237@example.com,Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
LP001788,Person 238,9800000238,person238@example.com,Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
LP001790,Person 239,9800000239,person239@example.com,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
LP001792,Person 240,9800000240,person240@example.com,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y
LP001798,Person 241,9800000241,person241@example.com,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y
LP001800,Person 242,9800000242,person242@example.com,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
LP001806,Person 243,9800000243,person243@example.com,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
